Word,Summed Score
afternoon,0.005412977003398591
mental,0.0054058868616038685
satin,0.005400304790531902
emma,0.005391363949638985
younger,0.005354463055923427
mildred,0.005337225888536055
romantic,0.005326184161936547
goldman,0.0053168563360534715
male,0.005274451142199459
chandelier,0.005259888718763516
film,0.00523027774259706
unhappy,0.005208447543346178
cheek,0.005182073393955862
possibly,0.00515183019042593
diane,0.00508996525589844
frequently,0.00508903008266565
weeks,0.005006740016676755
picture,0.005001535655839412
although,0.004990832264196922
faintly,0.004989458070338409
hospital,0.004929801635529597
hats,0.004917744912473579
carol,0.004903494760762521
going,0.004900657426622573
deborah,0.004892093834553664
poor,0.004889300870792146
julia,0.0048547450784611045
agnes,0.004848400212206773
dressing,0.004784520200788258
doll,0.004746967875613323
slim,0.004706632656439588
neck,0.004705298885933464
